                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54351,                0.40949,                  1.178,                 0.3838,                0.48596,                0.48318,                0.40645,                0.66627,                 0.5832,                 1.4757,             0.00054478,             0.00054478,             0.00054478
                     37,                0.53886,                0.39626,                 1.1698,                0.93885,                0.46368,                0.47603,                0.40432,                0.67364,                0.53726,                 1.4651,             0.00051177,             0.00051177,             0.00051177
                     38,                0.52668,                0.39672,                 1.1633,                0.94496,                0.46067,                0.45867,                0.38646,                0.67325,                0.56612,                  1.486,             0.00047876,             0.00047876,             0.00047876
                     39,                0.52493,                  0.398,                 1.1653,                0.90013,                0.48876,                0.50481,                0.40957,                0.66633,                0.55461,                 1.4671,             0.00044576,             0.00044576,             0.00044576
                     40,                0.51772,                0.38938,                 1.1573,                0.50585,                0.53991,                0.48431,                0.41252,                0.67327,                0.53456,                 1.4626,             0.00041275,             0.00041275,             0.00041275
                     41,                0.38904,                0.29538,                 1.1222,                0.46705,                0.54151,                0.49131,                0.41379,                 0.6405,                0.50968,                 1.4454,             0.00037974,             0.00037974,             0.00037974
                     42,                0.37365,                0.27631,                 1.1096,                0.93825,                0.47844,                0.47148,                0.40869,                 0.6476,                0.52911,                 1.4495,             0.00034674,             0.00034674,             0.00034674
                     43,                0.35755,                0.26719,                 1.0874,                0.93989,                0.47472,                0.47075,                0.41004,                0.65753,                0.54409,                 1.4677,             0.00031373,             0.00031373,             0.00031373
                     44,                0.34591,                0.25704,                 1.0735,                0.94714,                0.46348,                0.47158,                0.41058,                0.64616,                0.54938,                 1.4784,             0.00028072,             0.00028072,             0.00028072
                     45,                0.34041,                0.24709,                 1.0729,                0.94175,                0.46863,                0.46263,                0.40153,                0.65366,                0.54756,                 1.4775,             0.00024772,             0.00024772,             0.00024772
                     46,                0.33034,                0.24128,                 1.0611,                0.94795,                0.45934,                0.47264,                0.41486,                0.64326,                0.54458,                 1.4448,             0.00021471,             0.00021471,             0.00021471
                     47,                0.32131,                0.23168,                 1.0553,                0.94385,                0.47191,                0.47214,                0.41818,                0.61081,                0.53335,                 1.4367,              0.0001817,              0.0001817,              0.0001817
                     48,                0.31458,                0.22556,                 1.0454,                0.44066,                0.53589,                0.47509,                0.41288,                0.62741,                0.53719,                 1.4605,              0.0001487,              0.0001487,              0.0001487
                     49,                0.30455,                0.22195,                 1.0358,                0.94313,                 0.4691,                0.46679,                0.40675,                0.62016,                0.55613,                 1.4411,             0.00011569,             0.00011569,             0.00011569
                     50,                0.30004,                0.21473,                  1.034,                0.43772,                0.47381,                0.46977,                0.41119,                0.62503,                0.57222,                 1.4686,             8.2683e-05,             8.2683e-05,             8.2683e-05
